timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559583479626,662,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-27,text,false,,852,119,15,15,http://lifecharger.org/,661,0,225
1559583480523,741,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-30,text,false,,852,119,17,17,http://lifecharger.org/,741,0,242
1559583479927,1337,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-28,text,false,,852,119,17,17,http://lifecharger.org/,1337,0,242
1559583480823,634,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-31,text,false,,852,119,16,16,http://lifecharger.org/,633,0,256
1559583481406,862,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-33,text,false,,852,119,17,17,http://lifecharger.org/,861,0,247
1559583481695,573,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-34,text,false,,852,119,17,17,http://lifecharger.org/,573,0,236
1559583481123,1147,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-32,text,false,,852,119,17,17,http://lifecharger.org/,1146,0,269
1559583482323,553,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-36,text,false,,852,119,16,16,http://lifecharger.org/,553,0,231
1559583482024,1222,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-35,text,false,,852,119,17,17,http://lifecharger.org/,1222,0,244
1559583482621,639,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-37,text,false,,852,119,16,16,http://lifecharger.org/,639,0,254
1559583472695,10658,HTTP Request,200,OK,192.168.0.108-Thread Group 1-4,text,true,,57405,119,15,15,http://lifecharger.org/,9701,0,228
1559583483223,1044,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-39,text,false,,852,119,17,17,http://lifecharger.org/,1044,0,231
1559583482921,1353,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-38,text,false,,852,119,16,16,http://lifecharger.org/,1353,0,228
